"","local_date","local_time","site","sl","GRSH_fd","GRSH_fl","GRSH_si","GRSH_co","HUWH_fd","HUWH_sw","HUWH_ot","HUWH_co"
"1","11/5/2013","nd","N1","0",0,0,0,0,0,0,0,0
"2","11/5/2013","nd","N3","nd",0,0,0,0,0,0,0,0
"3","11/5/2013","nd","N4","nd",0,0,0,0,0,0,0,0
"4","11/5/2013","nd","N5","0",0,0,0,0,0,0,0,0
"5","11/5/2013","nd","N6","nd",0,0,0,0,0,0,0,0
"6","11/5/2013","nd","N7","nd",0,0,0,0,0,0,0,0
"7","11/5/2013","nd","N8","nd",0,0,0,0,0,0,0,0
"8","11/5/2013","nd","N9","0",0,0,0,0,0,0,0,0
"9","11/5/2013","11:41","N10","0",0,0,0,0,0,0,0,1
"10","11/5/2013","nd","N11","nd",0,0,0,0,0,0,0,0
"11","11/5/2013","nd","N12","0",0,0,0,0,0,0,0,0
"12","11/5/2013","nd","N13","0",0,0,0,0,0,0,0,0
"13","11/5/2013","nd","N14","0",0,0,0,0,0,0,0,0
"14","11/5/2013","nd","N15","0",0,0,0,0,0,0,0,0
"15","11/5/2013","nd","N16","nd",0,0,0,0,0,0,0,0
"16","11/15/2013","11:47","S1","nd",0,0,0,0,0,0,0,0
"17","11/15/2013","12:04","S2","0",0,0,0,0,0,0,0,0
"18","11/15/2013","12:20","S3","0",0,0,0,0,0,0,0,0
"19","11/15/2013","12:40","S4","nd",0,0,0,0,0,0,0,0
"20","11/15/2013","12:56","S5","0",0,0,0,0,0,0,0,0
"21","11/15/2013","13:14","S6","0",0,0,0,0,0,0,0,0
"22","11/15/2013","13:30","S7","nd",0,0,0,0,0,0,0,0
"23","11/15/2013","13:49","S8","0",0,0,0,0,0,0,0,0
"24","11/15/2013","14:11","S9","nd",0,0,0,0,0,0,0,0
"25","11/15/2013","14:36","S10","nd",0,0,0,0,0,0,0,0
"26","11/15/2013","14:56","S11","nd",0,0,0,0,0,0,0,0
"27","11/15/2013","15:16","S12","nd",0,0,0,0,0,0,0,0
"28","11/15/2013","15:35","S13","nd",0,0,0,0,0,0,0,0
"29","11/15/2013","15:57","S14","nd",0,2,0,0,0,0,0,0
"30","11/21/2013","12:01","C1","0",0,0,0,0,0,0,0,0
"31","11/21/2013","12:19","C2","nd",0,0,0,0,0,0,0,0
"32","11/21/2013","nd","C3","0",0,0,0,0,0,0,0,0
"33","11/21/2013","nd","C4","0",0,0,0,0,0,0,0,0
"34","11/21/2013","nd","C5","nd",0,0,0,0,0,0,0,0
"35","11/21/2013","nd","C6","nd",0,0,0,0,0,0,0,0
"36","11/21/2013","nd","C7","0",0,0,0,0,0,0,0,0
"37","11/21/2013","nd","C8","0",0,0,0,0,0,0,0,0
"38","11/21/2013","14:16","C9","nd",0,0,0,0,0,0,0,0
"39","11/21/2013","nd","C10","nd",0,0,0,0,0,0,0,0
"40","11/21/2013","nd","C11","0",0,0,0,0,0,0,0,0
"41","11/21/2013","nd","C12","0",0,0,0,0,0,0,0,0
"42","11/21/2013","nd","C13","nd",0,0,0,0,0,0,0,0
"43","11/21/2013","15:49","C14","nd",0,0,0,0,0,0,0,0
"44","5/22/2014","15:57","S1","0",0,0,0,0,0,0,0,4
"45","5/22/2014","16:30","S2","0",0,0,0,0,0,0,0,3
"46","5/22/2014","17:17","S3","0",0,0,0,1,0,0,0,10
"47","5/22/2014","17:35","S4","0",0,0,0,0,0,0,0,0
"48","5/22/2014","17:52","S5","0",0,0,0,0,0,0,0,1
"49","5/22/2014","18:10","S6","0",0,0,0,0,0,0,0,0
"50","5/22/2014","18:30","S7","0",0,0,0,0,0,0,0,0
"51","5/22/2014","18:47","S8","0",0,0,0,0,0,0,0,0
"52","5/22/2014","19:03","S9","0",0,0,0,0,0,0,0,1
"53","5/22/2014","nd","S12","0",0,0,0,0,0,0,0,0
"54","5/29/2014","18:10","C2","nd",0,0,0,0,0,0,0,0
"55","5/29/2014","17:19","C4","nd",0,0,0,0,0,0,0,0
"56","5/29/2014","16:41","C6","nd",0,0,0,0,0,0,0,0
"57","5/29/2014","16:23","C8","nd",0,0,0,0,0,0,0,0
"58","5/29/2014","16:59","C10","nd",0,0,0,0,0,0,0,0
"59","5/29/2014","17:50","C12","nd",0,0,0,0,0,0,0,0
"60","5/29/2014","19:38","N4","0",0,0,0,0,0,0,0,0
"61","5/29/2014","18:56","N7","0",0,0,0,0,0,0,0,0
"62","5/29/2014","18:39","N9","nd",0,0,0,0,0,0,0,0
"63","5/29/2014","19:20","N12","nd",0,0,0,0,0,0,0,0
"64","5/29/2014","nd","N15","0",0,0,0,0,0,0,0,0
"65","9/23/2014","nd","S1","nd",0,0,0,0,0,0,0,0
"66","9/23/2014","nd","S2","0",0,0,0,7,0,0,0,0
"67","9/23/2014","nd","S3","12",0,0,0,6,0,0,0,0
"68","9/23/2014","nd","S4","13",0,0,0,5,0,0,0,0
"69","9/23/2014","nd","S5","7",0,0,0,9,0,0,0,0
"70","9/23/2014","nd","S6","2",0,0,0,1,0,0,0,0
"71","9/23/2014","nd","S7","0",0,0,0,2,0,0,0,0
"72","9/23/2014","nd","S8","4",0,0,0,1,0,0,0,0
"73","9/23/2014","nd","S9","1",0,0,0,5,0,0,0,0
"74","9/23/2014","nd","S10","3",0,0,0,2,0,0,0,1
"75","9/23/2014","nd","S11","11",0,0,0,200,0,0,0,2
"76","9/23/2014","nd","S12","12",0,0,0,150,0,0,0,1
"77","9/23/2014","nd","S13","11",0,0,0,3,0,0,0,0
"78","9/23/2014","nd","S14","2",0,0,0,3,0,0,0,8
"79","9/24/2014","nd","C1","0",0,0,0,3,0,0,0,0
"80","9/24/2014","nd","C2","0",0,0,0,4,0,0,0,0
"81","9/24/2014","nd","C3","nd",0,0,0,1,0,0,0,0
